H,albedo,rot_per,spec_B
7.73,0.203,2.5217206229107165,S
8.89,0.048,2.324473778251683,C
7.15,0.125,2.3319497016239494,S
7.72,0.483,2.2774723921789706,X
6.83,0.0706,1.9574716282706235,X
9.53,0.016,2.373517815086937,C
8.38,0.228,2.824528682493883,S
7.2,0.1402,1.895368451847075,X
8.16,0.038,2.821688362326125,C
7.23,0.3052,3.607235465073426,X
8.91,0.0431,2.9051508953227527,C
9.22,0.117,1.8495565679542718,X
8.0,0.058,2.3954377100086623,X
8.58,0.177,2.3029050418049657,X
8.4,0.0706,2.11614707518825,C
7.78,0.287,1.9427623427645824,S
8.05,0.206,2.710048203764883,S
8.68,0.045,2.48014533268629,C
8.26,0.167,2.638985898492688,S
8.73,0.05,2.4079356086018717,X
9.32,0.0527,3.2012005331881923,C
7.93,0.0666,2.063693184711697,B
6.93,0.046,1.8219653112851208,X
7.24,0.0671,1.9518922207328608,B
6.38,0.189,2.516647535572063,K
8.42,0.058,2.8627150344441796,C
9.12,0.048,1.9494752152198096,C
6.75,0.2509,2.8297367193588094,X
7.89,0.056,1.9433354086828443,C
7.71,0.0395,2.1065702090680882,C
7.97,0.058,2.2726412166209737,C
7.66,0.048,2.699211252435006,T
8.95,0.029,2.8610001603529494,C
9.46,0.065,2.951100949408397,X
7.75,0.205,3.334558879328944,S
8.39,0.1898,3.1813816204406202,S
9.44,0.051,3.20327475863955,C
7.74,0.217,3.208421366964342,S
8.52,0.052,2.3009838116270718,C
8.75,0.032,3.641525757730466,C
7.76,0.044,2.845490610223448,C
7.09,0.059,1.7654154938884532,X
7.98,0.148,2.724972868298118,S
8.98,0.036,2.6526079608524005,C
7.83,0.1808,2.478804737596532,X
8.21,0.062,3.1386197611025386,C
9.77,0.042,3.480193387888653,C
8.54,0.224,2.3933394562625097,S
8.45,0.089,2.4632658340581735,X
7.75,0.2747,2.1091216957812464,S
7.78,0.256,2.567100887413987,S
8.15,0.027,2.315205124350148,X
8.93,0.245,2.175376526253003,S
8.33,0.2306,2.524447824408533,S
7.78,0.058,3.8618028192644784,C
7.4,0.0482,1.8796604504025176,C
7.66,0.297,2.4583059679908215,L
8.97,0.261,2.386282652015612,S
8.05,0.128,2.38931309650387,S
8.93,0.182,1.6030173446311777,X
8.54,0.042,2.624581631860482,C
7.69,0.067,3.6871905286819744,C
7.02,0.151,1.7846005720295754,X
7.46,0.086,1.8285734423507713,C
10.04,0.246,1.8215124273774028,X
8.96,0.199,1.8194394850013644,X
8.03,0.279,2.6179796040123624,S
8.96,0.0364,2.9012017897077578,C
8.31,0.1436,2.24102878729494,X
9.75,0.201,2.5254806135511703,X
8.05,0.052,3.0906332787487107,X
8.45,0.0676,3.567982199306981,X
8.38,0.067,3.038312721089109,C
10.53,0.047,2.3762072328646595,B
9.32,0.044,3.135711583607432,X
8.05,0.0597,2.6959101412080413,C
8.4,0.061,2.7770164055669326,C
8.5,0.036,2.9733332786105118,C
8.72,0.0492,2.1807337931617083,C
7.58,0.164,3.0756518967298647,S
8.58,0.052,2.2120803485682057,C
9.32,0.233,2.3854545708163406,S
8.36,0.257,1.9804495924728855,S
7.73,0.0618,1.939963933877771,X
7.65,0.044,3.2666750220014737,C
8.81,0.03,3.1412169402959718,C
9.32,0.213,2.722478937754331,S
8.28,0.064,3.2377368325091194,C
9.1,0.0625,2.4876528754560256,C
9.3,0.23,2.1138429683971687,X
9.09,0.051,2.5547902355822703,C
9.77,0.033,2.841181513705393,C
8.77,0.029,2.6851226964585053,X
7.81,0.047,2.1072998698082324,C
9.88,0.046,1.743094297246774,X
9.37,0.223,2.644044871126298,S
8.27,0.056,3.871388493331963,C
9.54,0.188,2.743224276109864,S
9.32,0.282,2.647592232065096,S
8.63,0.076,2.0367101733817523,C
8.72,0.1382,3.346987557631997,L
7.92,0.096,1.9671123567059163,X
8.39,0.169,1.9086532206995543,S
8.61,0.094,2.232591721173511,C
8.42,0.065,2.5085987620447883,C
9.63,0.022,2.6984038240504047,C
9.49,0.2438,2.589491864978075,S
8.26,0.198,2.4992203844274594,S
10.31,0.242,3.2135014085307456,S
8.06,0.101,3.974622147184666,X
9.09,0.196,4.395534984698674,S
9.47,0.227,2.547098670044448,S
8.37,0.215,2.0070858794876956,X
7.62,0.062,3.1266289483557577,C
9.08,0.1929,3.0369701815702355,K
8.38,0.044,2.4570214462984645,C
9.31,0.242,2.563409711275944,S
9.37,0.17,3.1504256632304717,S
7.88,0.066,2.017699107844266,X
9.09,0.046,2.9233766113618507,C
7.21,0.327,2.68273239311792,S
9.78,0.343,2.0256451170741667,S
7.83,0.057,2.8141504430950364,C
9.23,0.051,2.8634001615049507,C
6.72,0.342,2.233663647527624,S
9.55,0.373,2.029252900096549,S
8.54,0.268,2.4317695513748716,S
8.52,0.107,1.8277859837922699,X
8.45,0.053,3.6479011973853783,C
8.56,0.04,1.5575970997647144,X
9.42,0.061,2.7670106939257195,C
8.92,0.057,2.495021983529093,C
10.25,0.058,3.4371435084356246,C
9.26,0.206,2.7137008726110246,S
8.3,0.028,1.9075553466074093,X
9.41,0.0436,2.037577337581137,C
7.97,0.062,2.9634673129667153,C
9.09,0.092,2.5681749189710104,B
9.31,1.0,2.058600875807984,X
7.03,0.1164,1.8539514894845026,X
7.71,0.166,2.4373781893355777,K
9.84,0.352,2.4970822257181338,S
12.27,0.2082,2.012767408411843,S
7.43,0.164,3.2190958006717496,S
